Time [s], Analyzer Name, Decoded Protocol Result
8.113708000000001,HDMI CEC,Start Sequence
8.118176000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
8.137244000000001,HDMI CEC,End of Message = 0
8.139627000000001,HDMI CEC,Acknowledgment = 1
8.142010000000001,HDMI CEC,Opcode '164' (0xA4) (Invalid)
8.161077499999999,HDMI CEC,End of Message = 0
8.163462000000001,HDMI CEC,Acknowledgment = 1
8.184913500000000,HDMI CEC,End of Message = 0
8.187296500000000,HDMI CEC,Acknowledgment = 1
8.208746500000000,HDMI CEC,End of Message = 0
8.211130000000001,HDMI CEC,Acknowledgment = 1
8.232574000000000,HDMI CEC,End of Message = 0
8.234957500000000,HDMI CEC,Acknowledgment = 1
8.256403000000001,HDMI CEC,End of Message = 1
8.258785500000000,HDMI CEC,Acknowledgment = 1
9.113727500000000,HDMI CEC,Start Sequence
9.118194500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
9.137251500000000,HDMI CEC,End of Message = 0
9.139633999999999,HDMI CEC,Acknowledgment = 1
9.142015000000001,HDMI CEC,Opcode '164' (0xA4) (Invalid)
9.161076000000000,HDMI CEC,End of Message = 0
9.163459000000000,HDMI CEC,Acknowledgment = 1
9.184910500000001,HDMI CEC,End of Message = 0
9.187293499999999,HDMI CEC,Acknowledgment = 1
9.208741000000000,HDMI CEC,End of Message = 1
9.211124000000000,HDMI CEC,Acknowledgment = 1
10.114098000000000,HDMI CEC,Start Sequence
10.118565000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='3' (0x3) (Tuner1)
10.137632000000000,HDMI CEC,End of Message = 1
10.140015500000001,HDMI CEC,Acknowledgment = 0
10.149550000000000,HDMI CEC,Start Sequence
10.154019999999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST='3' (0x3) (Tuner1)
10.173088000000000,HDMI CEC,End of Message = 1
10.175471500000000,HDMI CEC,Acknowledgment = 0
11.114540500000000,HDMI CEC,Start Sequence
11.119009500000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='4' (0x4) (Player1)
11.138075000000001,HDMI CEC,End of Message = 1
11.140458499999999,HDMI CEC,Acknowledgment = 0
11.149993500000001,HDMI CEC,Start Sequence
11.154462499999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST='4' (0x4) (Player1)
11.173537500000000,HDMI CEC,End of Message = 1
11.175921000000001,HDMI CEC,Acknowledgment = 0
11.232902500000000,HDMI CEC,Start Sequence
11.237372000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
11.256437999999999,HDMI CEC,End of Message = 0
11.258821500000000,HDMI CEC,Acknowledgment = 1
11.261205500000001,HDMI CEC,Opcode '194' (0xC2) (Invalid)
11.280275500000000,HDMI CEC,End of Message = 1
11.282658500000000,HDMI CEC,Acknowledgment = 1
12.028549000000000,HDMI CEC,Start Sequence
12.033015499999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
12.052078000000000,HDMI CEC,End of Message = 0
12.054461000000000,HDMI CEC,Acknowledgment = 1
12.056844500000000,HDMI CEC,Opcode '195' (0xC3) (Invalid)
12.075905000000001,HDMI CEC,End of Message = 1
12.078287500000000,HDMI CEC,Acknowledgment = 1
12.088792500000000,HDMI CEC,Start Sequence
12.093294500000001,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
12.112500499999999,HDMI CEC,End of Message = 0
12.114901000000000,HDMI CEC,Acknowledgment = 1
12.117302000000000,HDMI CEC,Opcode '192' (0xC0) (Invalid)
12.136507500000000,HDMI CEC,End of Message = 1
12.138908499999999,HDMI CEC,Acknowledgment = 1
12.646807500000000,HDMI CEC,Start Sequence
12.651272000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
12.670327000000000,HDMI CEC,End of Message = 0
12.672708500000001,HDMI CEC,Acknowledgment = 1
12.675089500000000,HDMI CEC,Opcode '193' (0xC1) (Invalid)
12.694141999999999,HDMI CEC,End of Message = 1
12.696524000000000,HDMI CEC,Acknowledgment = 1
12.716927999999999,HDMI CEC,Start Sequence
12.721392500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='6' (0x6) (Tuner2)
12.740442500000000,HDMI CEC,End of Message = 1
12.742823500000000,HDMI CEC,Acknowledgment = 0
12.752352000000000,HDMI CEC,Start Sequence
