Time [s], Analyzer Name, Decoded Protocol Result
1.499743500000000,HDMI CEC,Acknowledgment = 0
1.521350000000000,HDMI CEC,End of Message = 0
1.523750500000000,HDMI CEC,Acknowledgment = 0
1.545357000000000,HDMI CEC,End of Message = 1
1.547758000000000,HDMI CEC,Acknowledgment = 0
1.572830500000000,HDMI CEC,Start Sequence
1.577383000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.596827500000000,HDMI CEC,End of Message = 0
1.599257500000000,HDMI CEC,Acknowledgment = 1
1.601689000000000,HDMI CEC,Opcode p (0x70) (SystemAudioModeRequest)
1.621126500000000,HDMI CEC,End of Message = 0
1.623556500000000,HDMI CEC,Acknowledgment = 1
1.645424000000000,HDMI CEC,End of Message = 0
1.647854000000000,HDMI CEC,Acknowledgment = 1
1.669721500000000,HDMI CEC,End of Message = 1
1.672153000000000,HDMI CEC,Acknowledgment = 1
1.680661500000000,HDMI CEC,Start Sequence
1.685163500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
1.704369500000000,HDMI CEC,End of Message = 0
1.706770000000000,HDMI CEC,Acknowledgment = 1
1.709171000000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
1.728376500000000,HDMI CEC,End of Message = 0
1.730777500000000,HDMI CEC,Acknowledgment = 1
1.752384000000000,HDMI CEC,End of Message = 1
1.754784500000000,HDMI CEC,Acknowledgment = 1
1.767141500000000,HDMI CEC,Start Sequence
1.771698500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='6' (0x6) (Tuner2)
1.791137500000000,HDMI CEC,End of Message = 1
1.793569000000000,HDMI CEC,Acknowledgment = 0
1.801666000000000,HDMI CEC,Start Sequence
1.806223000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='6' (0x6) (Tuner2)
1.825666500000000,HDMI CEC,End of Message = 1
1.828097000000000,HDMI CEC,Acknowledgment = 0
1.835592000000000,HDMI CEC,Start Sequence
1.840144500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='6' (0x6) (Tuner2)
1.859590000000000,HDMI CEC,End of Message = 1
1.862019000000000,HDMI CEC,Acknowledgment = 0
1.893181000000000,HDMI CEC,Start Sequence
1.897736500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='7' (0x7) (Tuner3)
1.917171500000000,HDMI CEC,End of Message = 1
1.919597500000000,HDMI CEC,Acknowledgment = 0
1.927695000000000,HDMI CEC,Start Sequence
1.932249500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='7' (0x7) (Tuner3)
1.951686500000000,HDMI CEC,End of Message = 1
1.954117000000000,HDMI CEC,Acknowledgment = 0
1.961608500000000,HDMI CEC,Start Sequence
1.966163500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='7' (0x7) (Tuner3)
1.985601500000000,HDMI CEC,End of Message = 1
1.988032000000000,HDMI CEC,Acknowledgment = 0
2.015064500000000,HDMI CEC,Start Sequence
2.019621500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='8' (0x8) (Player2)
2.039059000000000,HDMI CEC,End of Message = 1
2.041485500000000,HDMI CEC,Acknowledgment = 0
